date,origin_station,day_type,ridership
2016-12-05,,Weekday,
2016-12-06,,Weekday,
2016-12-07,,Weekday,
2016-12-08,,Weekday,
2016-12-09,,Weekday,
2016-12-10,,Saturday,
2016-12-11,,Sunday,
2016-12-12,,Weekday,
2016-12-13,,Weekday,
2016-12-14,,Weekday,
2016-12-15,,Weekday,
2016-12-16,,Weekday,
2016-12-17,,Saturday,
2016-12-18,,Sunday,
2016-12-19,,Weekday,
2016-12-20,,Weekday,
2016-12-21,,Weekday,
2016-12-22,,Weekday,
2016-12-23,,Weekday,
2016-12-24,,Saturday,
2016-12-25,,Holiday,
2016-12-26,,Weekday,
2016-12-27,,Weekday,
2016-12-28,,Weekday,
2016-12-29,,Weekday,
2016-12-30,,Weekday,
2016-12-31,,Saturday,
2017-01-01,,Holiday,
2017-01-02,,Weekday,
2017-01-03,,Weekday,
2017-01-04,,Weekday,
2017-01-05,,Weekday,
2017-01-06,,Weekday,
2017-01-07,,Saturday,
2017-01-08,,Sunday,
2017-01-09,,Weekday,
2017-01-10,,Weekday,
2017-01-11,,Weekday,
2017-01-12,,Weekday,
2017-01-13,,Weekday,
2017-01-14,,Saturday,
2017-01-15,,Sunday,
2017-01-16,,Holiday,
2017-01-17,,Weekday,
2017-01-18,,Weekday,
2017-01-19,,Weekday,
2017-01-20,,Weekday,
2017-01-21,,Saturday,
2017-01-22,,Sunday,
2017-01-23,,Weekday,
2017-01-24,,Weekday,
2017-01-25,,Weekday,
2017-01-26,,Weekday,
2017-01-27,,Weekday,
2017-01-28,,Saturday,
2017-01-29,,Sunday,
2017-01-30,,Weekday,
2017-01-31,,Weekday,
2017-02-01,,Weekday,
2017-02-02,,Weekday,
2017-02-03,,Weekday,
2017-02-04,,Saturday,
2017-02-05,,Sunday,
2017-02-06,,Weekday,
2017-02-07,,Weekday,
2017-02-08,,Weekday,
2017-02-09,,Weekday,
2017-02-10,,Weekday,
2017-02-11,,Saturday,
2017-02-12,,Sunday,
2017-02-13,,Weekday,
2017-02-14,,Weekday,
2017-02-15,,Weekday,
2017-02-16,,Weekday,
2017-02-17,,Weekday,
2017-02-18,,Saturday,
2017-02-19,,Sunday,
2017-02-20,,Holiday,
2017-02-21,,Weekday,
2017-02-22,,Weekday,
2017-02-23,,Weekday,
2017-02-24,,Weekday,
2017-02-25,,Saturday,
2017-02-26,,Sunday,
2017-02-27,,Weekday,
2017-02-28,,Weekday,
2017-03-01,,Weekday,
2017-03-02,,Weekday,
2017-03-03,,Weekday,
2017-03-04,,Saturday,
2017-03-05,,Sunday,
2017-03-06,,Weekday,
2017-03-07,,Weekday,
2017-03-08,,Weekday,
2017-03-09,,Weekday,
2017-03-10,,Weekday,
2017-03-11,,Saturday,
2017-03-12,,Sunday,
2017-03-13,,Weekday,
2017-03-14,,Weekday,
2017-03-15,,Weekday,
2017-03-16,,Weekday,
2017-03-17,,Weekday,
2017-03-18,,Saturday,
2017-03-19,,Sunday,
2017-03-20,,Weekday,
2017-03-21,,Weekday,
2017-03-22,,Weekday,
2017-03-23,,Weekday,
2017-03-24,,Weekday,
2017-03-25,,Saturday,
2017-03-26,,Sunday,
2017-03-27,,Weekday,
2017-03-28,,Weekday,
2017-03-29,,Weekday,
2017-03-30,,Weekday,
2017-03-31,,Weekday,
2017-04-01,,Saturday,
2017-04-02,,Sunday,
2017-04-03,,Weekday,
2017-04-04,,Weekday,
2017-04-05,,Weekday,
2017-04-06,,Weekday,
2017-04-07,,Weekday,
2017-04-08,,Saturday,
2017-04-09,,Sunday,
2017-04-10,,Weekday,
2017-04-11,,Weekday,
2017-04-12,,Weekday,
2017-04-13,,Weekday,
2017-04-14,,Weekday,
2017-04-15,,Saturday,
2017-04-16,,Sunday,
2017-04-17,,Weekday,
2017-04-18,,Weekday,
2017-04-19,,Weekday,
2017-04-20,,Weekday,
2017-04-21,,Weekday,
2017-04-22,,Saturday,
2017-04-23,,Sunday,
2017-04-24,,Weekday,
2017-04-25,,Weekday,
2017-04-26,,Weekday,
2017-04-27,,Weekday,
2017-04-28,,Weekday,
2017-04-29,,Saturday,
2017-04-30,,Sunday,
2017-05-01,,Weekday,
2017-05-02,,Weekday,
2017-05-03,,Weekday,
2017-05-04,,Weekday,
2017-05-05,,Weekday,
2017-05-06,,Saturday,
2017-05-07,,Sunday,
2017-05-08,,Weekday,
2017-05-09,,Weekday,
2017-05-10,,Weekday,
2017-05-11,,Weekday,
2017-05-12,,Weekday,
2017-05-13,,Saturday,
2017-05-14,,Sunday,
2017-05-15,,Weekday,
2017-05-16,,Weekday,
2017-05-17,,Weekday,
2017-05-18,,Weekday,
2017-05-19,,Weekday,
2017-05-20,,Saturday,
2017-05-21,,Sunday,
2017-05-22,,Weekday,
2017-05-23,,Weekday,
2017-05-24,,Weekday,
2017-05-25,,Weekday,
2017-05-26,,Weekday,
2017-05-27,,Saturday,
2017-05-28,,Sunday,
2017-05-29,,Holiday,
2017-05-30,,Weekday,
2017-05-31,,Weekday,
2017-06-01,,Weekday,
2017-06-02,,Weekday,
2017-06-03,,Saturday,
2017-06-04,,Sunday,
2017-06-05,,Weekday,
2017-06-06,,Weekday,
2017-06-07,,Weekday,
2017-06-08,,Weekday,
2017-06-09,,Weekday,
2017-06-10,,Saturday,
2017-06-11,,Sunday,
2017-06-12,,Weekday,
2017-06-13,,Weekday,
2017-06-14,,Weekday,
2017-06-15,,Weekday,
2017-06-16,,Weekday,
2017-06-17,,Saturday,
2017-06-18,,Sunday,
2017-06-19,,Weekday,
2017-06-20,,Weekday,
2017-06-21,,Weekday,
2017-06-22,,Weekday,
2017-06-23,,Weekday,
2017-06-24,,Saturday,
2017-06-25,,Sunday,
2017-06-26,,Weekday,
2017-06-27,,Weekday,
2017-06-28,,Weekday,
2017-06-29,,Weekday,
2017-06-30,,Weekday,
2017-07-01,Not Available,Saturday,96566.4
2017-07-02,Not Available,Sunday,64377.600000000006
2017-07-03,Not Available,Weekday,1261489.0
2017-07-04,Not Available,Holiday,32189.0
2017-07-05,,Weekday,
2017-07-06,,Weekday,
2017-07-07,,Weekday,
2017-07-08,,Saturday,
2017-07-09,,Sunday,
2017-07-10,,Weekday,
2017-07-11,,Weekday,
2017-07-12,,Weekday,
2017-07-13,,Weekday,
2017-07-14,,Weekday,
2017-07-15,,Saturday,
2017-07-16,,Sunday,
2017-07-17,,Weekday,
2017-07-18,,Weekday,
2017-07-19,,Weekday,
2017-07-20,,Weekday,
2017-07-21,,Weekday,
2017-07-22,,Saturday,
2017-07-23,,Sunday,
2017-07-24,,Weekday,
2017-07-25,,Weekday,
2017-07-26,,Weekday,
2017-07-27,,Weekday,
2017-07-28,,Weekday,
2017-07-29,,Saturday,
2017-07-30,,Sunday,
2017-07-31,,Weekday,
2017-08-01,Not Available,Weekday,1423770.0
2017-08-02,,Weekday,
2017-08-03,,Weekday,
2017-08-04,,Weekday,
2017-08-05,Not Available,Saturday,78207.59999999999
2017-08-06,Not Available,Sunday,52138.4
2017-08-07,,Weekday,
2017-08-08,,Weekday,
2017-08-09,,Weekday,
2017-08-10,,Weekday,
2017-08-11,,Weekday,
2017-08-12,,Saturday,
2017-08-13,,Sunday,
2017-08-14,,Weekday,
2017-08-15,,Weekday,
2017-08-16,,Weekday,
2017-08-17,,Weekday,
2017-08-18,,Weekday,
2017-08-19,,Saturday,
2017-08-20,,Sunday,
2017-08-21,,Weekday,
2017-08-22,,Weekday,
2017-08-23,,Weekday,
2017-08-24,,Weekday,
2017-08-25,,Weekday,
2017-08-26,,Saturday,
2017-08-27,,Sunday,
2017-08-28,,Weekday,
2017-08-29,,Weekday,
2017-08-30,,Weekday,
2017-08-31,,Weekday,
2017-09-01,Not Available,Weekday,1227431.0
2017-09-02,Not Available,Saturday,95351.4
2017-09-03,Not Available,Sunday,50854.0
2017-09-04,Not Available,Holiday,31784.0
2017-09-05,,Weekday,
2017-09-06,,Weekday,
2017-09-07,,Weekday,
2017-09-08,,Weekday,
2017-09-09,,Saturday,
2017-09-10,,Sunday,
2017-09-11,,Weekday,
2017-09-12,,Weekday,
2017-09-13,,Weekday,
2017-09-14,,Weekday,
2017-09-15,,Weekday,
2017-09-16,,Saturday,
2017-09-17,,Sunday,
2017-09-18,,Weekday,
2017-09-19,,Weekday,
2017-09-20,,Weekday,
2017-09-21,,Weekday,
2017-09-22,,Weekday,
2017-09-23,,Saturday,
2017-09-24,,Sunday,
2017-09-25,,Weekday,
2017-09-26,,Weekday,
2017-09-27,,Weekday,
2017-09-28,,Weekday,
2017-09-29,,Weekday,
2017-09-30,,Saturday,
2017-10-01,,Sunday,
2017-10-02,,Weekday,
2017-10-03,,Weekday,
2017-10-04,,Weekday,
2017-10-05,,Weekday,
2017-10-06,Not Available,Weekday,1360353.0
2017-10-07,Not Available,Saturday,78208.2
2017-10-08,Not Available,Sunday,65173.600000000006
2017-10-09,,Weekday,
2017-10-10,,Weekday,
2017-10-11,,Weekday,
2017-10-12,,Weekday,
2017-10-13,,Weekday,
2017-10-14,,Saturday,
2017-10-15,,Sunday,
2017-10-16,,Weekday,
2017-10-17,,Weekday,
2017-10-18,,Weekday,
2017-10-19,,Weekday,
2017-10-20,,Weekday,
